time.delay,experiment.day,site,species,attacks,field.day
four,1,1,battus,0,1
four,1,2,battus,0,1
four,1,3,battus,0,1
four,1,4,battus,0,1
four,1,5,battus,1,1
four,1,6,battus,0,1
four,1,7,battus,0,1
four,1,8,battus,1,1
four,1,9,battus,1,1
four,1,10,battus,0,1
four,1,11,battus,0,1
four,1,12,battus,0,1
four,1,13,battus,1,1
four,1,14,battus,0,1
four,1,15,battus,1,1
four,1,16,battus,0,1
four,1,17,battus,0,1
four,1,18,battus,0,1
four,1,19,battus,0,1
four,1,20,battus,0,1
four,1,1,junonia,0,1
four,1,2,junonia,0,1
four,1,3,junonia,0,1
four,1,4,junonia,0,1
four,1,5,junonia,0,1
four,1,6,junonia,0,1
four,1,7,junonia,1,1
four,1,8,junonia,0,1
four,1,9,junonia,3,1
four,1,10,junonia,0,1
four,1,11,junonia,0,1
four,1,12,junonia,0,1
four,1,13,junonia,0,1
four,1,14,junonia,1,1
four,1,15,junonia,1,1
four,1,16,junonia,1,1
four,1,17,junonia,0,1
four,1,18,junonia,0,1
four,1,19,junonia,0,1
four,1,20,junonia,0,1
four,2,1,battus,1,2
four,2,2,battus,0,2
four,2,3,battus,0,2
four,2,4,battus,0,2
four,2,5,battus,0,2
four,2,6,battus,0,2
four,2,7,battus,0,2
four,2,8,battus,0,2
four,2,9,battus,0,2
four,2,10,battus,0,2
four,2,11,battus,0,2
four,2,12,battus,0,2
four,2,13,battus,0,2
four,2,14,battus,1,2
four,2,15,battus,0,2
four,2,16,battus,0,2
four,2,17,battus,0,2
four,2,18,battus,0,2
four,2,19,battus,1,2
four,2,20,battus,0,2
four,2,1,junonia,0,2
four,2,2,junonia,0,2
four,2,3,junonia,0,2
four,2,4,junonia,0,2
four,2,5,junonia,0,2
four,2,6,junonia,0,2
four,2,7,junonia,1,2
four,2,8,junonia,0,2
four,2,9,junonia,2,2
four,2,10,junonia,0,2
four,2,11,junonia,1,2
four,2,12,junonia,0,2
four,2,13,junonia,0,2
four,2,14,junonia,0,2
four,2,15,junonia,0,2
four,2,16,junonia,0,2
four,2,17,junonia,0,2
four,2,18,junonia,0,2
four,2,19,junonia,1,2
four,2,20,junonia,1,2
four,3,1,battus,0,3
four,3,2,battus,0,3
four,3,3,battus,0,3
four,3,4,battus,0,3
four,3,5,battus,0,3
four,3,6,battus,0,3
four,3,7,battus,1,3
four,3,8,battus,0,3
four,3,9,battus,0,3
four,3,10,battus,0,3
four,3,11,battus,0,3
four,3,12,battus,0,3
four,3,13,battus,1,3
four,3,14,battus,0,3
four,3,15,battus,0,3
four,3,16,battus,0,3
four,3,17,battus,0,3
four,3,18,battus,0,3
four,3,19,battus,0,3
four,3,20,battus,0,3
four,3,1,junonia,0,3
four,3,2,junonia,0,3
four,3,3,junonia,0,3
four,3,4,junonia,0,3
four,3,5,junonia,1,3
four,3,6,junonia,0,3
four,3,7,junonia,0,3
four,3,8,junonia,0,3
four,3,9,junonia,0,3
four,3,10,junonia,0,3
four,3,11,junonia,0,3
four,3,12,junonia,0,3
four,3,13,junonia,0,3
four,3,14,junonia,0,3
four,3,15,junonia,0,3
four,3,16,junonia,0,3
four,3,17,junonia,0,3
four,3,18,junonia,0,3
four,3,19,junonia,0,3
four,3,20,junonia,0,3
four,4,1,battus,0,4
four,4,2,battus,0,4
four,4,3,battus,0,4
four,4,4,battus,0,4
four,4,5,battus,0,4
four,4,6,battus,0,4
four,4,7,battus,0,4
four,4,8,battus,0,4
four,4,9,battus,0,4
four,4,10,battus,0,4
four,4,11,battus,0,4
four,4,12,battus,0,4
four,4,13,battus,0,4
four,4,14,battus,0,4
four,4,15,battus,0,4
four,4,16,battus,0,4
four,4,17,battus,0,4
four,4,18,battus,0,4
four,4,19,battus,0,4
four,4,20,battus,0,4
four,4,1,junonia,0,4
four,4,2,junonia,0,4
four,4,3,junonia,0,4
four,4,4,junonia,0,4
four,4,5,junonia,0,4
four,4,6,junonia,0,4
four,4,7,junonia,0,4
four,4,8,junonia,1,4
four,4,9,junonia,0,4
four,4,10,junonia,0,4
four,4,11,junonia,0,4
four,4,12,junonia,0,4
four,4,13,junonia,1,4
four,4,14,junonia,0,4
four,4,15,junonia,0,4
four,4,16,junonia,0,4
four,4,17,junonia,0,4
four,4,18,junonia,0,4
four,4,19,junonia,0,4
four,4,20,junonia,0,4
two,1,1,battus,0,5
two,1,2,battus,1,5
two,1,3,battus,0,5
two,1,4,battus,1,5
two,1,5,battus,1,5
two,1,6,battus,0,5
two,1,7,battus,2,5
two,1,8,battus,1,5
two,1,9,battus,1,5
two,1,10,battus,0,5
two,1,11,battus,1,5
two,1,12,battus,0,5
two,1,13,battus,0,5
two,1,14,battus,0,5
two,1,15,battus,0,5
two,1,16,battus,0,5
two,1,17,battus,0,5
two,1,18,battus,1,5
two,1,19,battus,0,5
two,1,20,battus,0,5
two,1,1,junonia,0,5
two,1,2,junonia,0,5
two,1,3,junonia,2,5
two,1,4,junonia,1,5
two,1,5,junonia,1,5
two,1,6,junonia,0,5
two,1,7,junonia,0,5
two,1,8,junonia,0,5
two,1,9,junonia,1,5
two,1,10,junonia,0,5
two,1,11,junonia,0,5
two,1,12,junonia,0,5
two,1,13,junonia,0,5
two,1,14,junonia,0,5
two,1,15,junonia,0,5
two,1,16,junonia,0,5
two,1,17,junonia,0,5
two,1,18,junonia,0,5
two,1,19,junonia,1,5
two,1,20,junonia,0,5
two,2,1,battus,0,6
two,2,2,battus,0,6
two,2,3,battus,0,6
two,2,4,battus,0,6
two,2,5,battus,0,6
two,2,6,battus,0,6
two,2,7,battus,0,6
two,2,8,battus,0,6
two,2,9,battus,0,6
two,2,10,battus,0,6
two,2,11,battus,0,6
two,2,12,battus,0,6
two,2,13,battus,0,6
two,2,14,battus,0,6
two,2,15,battus,0,6
two,2,16,battus,0,6
two,2,17,battus,0,6
two,2,18,battus,0,6
two,2,19,battus,0,6
two,2,20,battus,0,6
two,2,1,junonia,0,6
two,2,2,junonia,0,6
two,2,3,junonia,0,6
two,2,4,junonia,0,6
two,2,5,junonia,0,6
two,2,6,junonia,0,6
two,2,7,junonia,0,6
two,2,8,junonia,0,6
two,2,9,junonia,0,6
two,2,10,junonia,1,6
two,2,11,junonia,0,6
two,2,12,junonia,0,6
two,2,13,junonia,0,6
two,2,14,junonia,0,6
two,2,15,junonia,0,6
two,2,16,junonia,0,6
two,2,17,junonia,0,6
two,2,18,junonia,0,6
two,2,19,junonia,0,6
two,2,20,junonia,0,6
two,3,1,battus,0,7
two,3,2,battus,0,7
two,3,3,battus,0,7
two,3,4,battus,0,7
two,3,5,battus,0,7
two,3,6,battus,0,7
two,3,7,battus,0,7
two,3,8,battus,0,7
two,3,9,battus,0,7
two,3,10,battus,0,7
two,3,11,battus,0,7
two,3,12,battus,0,7
two,3,13,battus,0,7
two,3,14,battus,0,7
two,3,15,battus,0,7
two,3,16,battus,0,7
two,3,17,battus,0,7
two,3,18,battus,0,7
two,3,19,battus,0,7
two,3,20,battus,0,7
two,3,1,junonia,0,7
two,3,2,junonia,0,7
two,3,3,junonia,0,7
two,3,4,junonia,0,7
two,3,5,junonia,0,7
two,3,6,junonia,0,7
two,3,7,junonia,0,7
two,3,8,junonia,0,7
two,3,9,junonia,0,7
two,3,10,junonia,0,7
two,3,11,junonia,0,7
two,3,12,junonia,0,7
two,3,13,junonia,0,7
two,3,14,junonia,0,7
two,3,15,junonia,0,7
two,3,16,junonia,0,7
two,3,17,junonia,0,7
two,3,18,junonia,0,7
two,3,19,junonia,0,7
two,3,20,junonia,0,7
two,4,1,battus,1,8
two,4,2,battus,0,8
two,4,3,battus,0,8
two,4,4,battus,0,8
two,4,5,battus,0,8
two,4,6,battus,0,8
two,4,7,battus,0,8
two,4,8,battus,1,8
two,4,9,battus,0,8
two,4,10,battus,0,8
two,4,11,battus,0,8
two,4,12,battus,0,8
two,4,13,battus,0,8
two,4,14,battus,0,8
two,4,15,battus,0,8
two,4,16,battus,0,8
two,4,17,battus,0,8
two,4,18,battus,0,8
two,4,19,battus,0,8
two,4,20,battus,0,8
two,4,1,junonia,2,8
two,4,2,junonia,0,8
two,4,3,junonia,0,8
two,4,4,junonia,1,8
two,4,5,junonia,0,8
two,4,6,junonia,0,8
two,4,7,junonia,0,8
two,4,8,junonia,0,8
two,4,9,junonia,0,8
two,4,10,junonia,1,8
two,4,11,junonia,0,8
two,4,12,junonia,0,8
two,4,13,junonia,0,8
two,4,14,junonia,0,8
two,4,15,junonia,0,8
two,4,16,junonia,0,8
two,4,17,junonia,0,8
two,4,18,junonia,0,8
two,4,19,junonia,0,8
two,4,20,junonia,0,8
one,1,1,battus,0,9
one,1,2,battus,0,9
one,1,3,battus,2,9
one,1,4,battus,0,9
one,1,5,battus,0,9
one,1,6,battus,0,9
one,1,7,battus,0,9
one,1,8,battus,0,9
one,1,9,battus,0,9
one,1,10,battus,0,9
one,1,11,battus,1,9
one,1,12,battus,1,9
one,1,13,battus,0,9
one,1,14,battus,0,9
one,1,15,battus,0,9
one,1,16,battus,0,9
one,1,17,battus,0,9
one,1,18,battus,2,9
one,1,19,battus,0,9
one,1,20,battus,0,9
one,1,1,junonia,0,9
one,1,2,junonia,0,9
one,1,3,junonia,0,9
one,1,4,junonia,0,9
one,1,5,junonia,0,9
one,1,6,junonia,0,9
one,1,7,junonia,2,9
one,1,8,junonia,0,9
one,1,9,junonia,1,9
one,1,10,junonia,0,9
one,1,11,junonia,0,9
one,1,12,junonia,0,9
one,1,13,junonia,0,9
one,1,14,junonia,0,9
one,1,15,junonia,0,9
one,1,16,junonia,0,9
one,1,17,junonia,0,9
one,1,18,junonia,0,9
one,1,19,junonia,0,9
one,1,20,junonia,0,9
one,2,1,battus,0,10
one,2,2,battus,0,10
one,2,3,battus,0,10
one,2,4,battus,0,10
one,2,5,battus,0,10
one,2,6,battus,0,10
one,2,7,battus,0,10
one,2,8,battus,0,10
one,2,9,battus,0,10
one,2,10,battus,0,10
one,2,11,battus,0,10
one,2,12,battus,0,10
one,2,13,battus,0,10
one,2,14,battus,0,10
one,2,15,battus,0,10
one,2,16,battus,0,10
one,2,17,battus,0,10
one,2,18,battus,0,10
one,2,19,battus,0,10
one,2,20,battus,0,10
one,2,1,junonia,0,10
one,2,2,junonia,0,10
one,2,3,junonia,1,10
one,2,4,junonia,0,10
one,2,5,junonia,0,10
one,2,6,junonia,0,10
one,2,7,junonia,1,10
one,2,8,junonia,0,10
one,2,9,junonia,0,10
one,2,10,junonia,0,10
one,2,11,junonia,1,10
one,2,12,junonia,0,10
one,2,13,junonia,0,10
one,2,14,junonia,0,10
one,2,15,junonia,0,10
one,2,16,junonia,0,10
one,2,17,junonia,0,10
one,2,18,junonia,0,10
one,2,19,junonia,0,10
one,2,20,junonia,0,10
one,3,1,battus,0,11
one,3,2,battus,1,11
one,3,3,battus,0,11
one,3,4,battus,0,11
one,3,5,battus,0,11
one,3,6,battus,0,11
one,3,7,battus,0,11
one,3,8,battus,0,11
one,3,9,battus,0,11
one,3,10,battus,0,11
one,3,11,battus,0,11
one,3,12,battus,0,11
one,3,13,battus,0,11
one,3,14,battus,0,11
one,3,15,battus,0,11
one,3,16,battus,0,11
one,3,17,battus,0,11
one,3,18,battus,0,11
one,3,19,battus,0,11
one,3,20,battus,0,11
one,3,1,junonia,0,11
one,3,2,junonia,0,11
one,3,3,junonia,0,11
one,3,4,junonia,0,11
one,3,5,junonia,0,11
one,3,6,junonia,0,11
one,3,7,junonia,1,11
one,3,8,junonia,0,11
one,3,9,junonia,0,11
one,3,10,junonia,0,11
one,3,11,junonia,0,11
one,3,12,junonia,0,11
one,3,13,junonia,0,11
one,3,14,junonia,0,11
one,3,15,junonia,0,11
one,3,16,junonia,0,11
one,3,17,junonia,1,11
one,3,18,junonia,1,11
one,3,19,junonia,0,11
one,3,20,junonia,0,11
one,4,1,battus,0,12
one,4,2,battus,0,12
one,4,3,battus,0,12
one,4,4,battus,0,12
one,4,5,battus,0,12
one,4,6,battus,0,12
one,4,7,battus,0,12
one,4,8,battus,0,12
one,4,9,battus,0,12
one,4,10,battus,0,12
one,4,11,battus,0,12
one,4,12,battus,0,12
one,4,13,battus,0,12
one,4,14,battus,0,12
one,4,15,battus,0,12
one,4,16,battus,0,12
one,4,17,battus,0,12
one,4,18,battus,0,12
one,4,19,battus,0,12
one,4,20,battus,0,12
one,4,1,junonia,0,12
one,4,2,junonia,0,12
one,4,3,junonia,0,12
one,4,4,junonia,1,12
one,4,5,junonia,0,12
one,4,6,junonia,1,12
one,4,7,junonia,0,12
one,4,8,junonia,0,12
one,4,9,junonia,0,12
one,4,10,junonia,0,12
one,4,11,junonia,0,12
one,4,12,junonia,0,12
one,4,13,junonia,0,12
one,4,14,junonia,0,12
one,4,15,junonia,0,12
one,4,16,junonia,0,12
one,4,17,junonia,0,12
one,4,18,junonia,0,12
one,4,19,junonia,0,12
one,4,20,junonia,0,12